#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 12 999 99.0 99.0  0.77 15.38 10.98 273 9999.0 999.0  15.9 999.0 99.0 99.00
2014 01 01 00 42 999 99.0 99.0  1.10 15.38 12.66 271 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 01 12 999 99.0 99.0  0.94 15.38 11.92 274 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 01 42 999 99.0 99.0  1.10 16.67 12.69 271 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 02 12 999 99.0 99.0  1.04 15.38 12.53 277 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 02 42 999 99.0 99.0  0.97 15.38 11.71 266 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 03 12 999 99.0 99.0  0.97 16.67 11.90 282 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 03 42 999 99.0 99.0  0.93 14.29 11.21 278 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 04 12 999 99.0 99.0  1.02 16.67 12.31 270 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 04 42 999 99.0 99.0  1.10 16.67 12.24 274 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 05 12 999 99.0 99.0  1.04 15.38 12.24 266 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 05 42 999 99.0 99.0  0.96 16.67 11.62 271 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 06 12 999 99.0 99.0  0.96 15.38 11.46 270 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 06 42 999 99.0 99.0  0.98 16.67 11.51 270 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 07 12 999 99.0 99.0  0.89 15.38 10.55 278 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 07 42 999 99.0 99.0  0.87 15.38 10.31 254 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 08 12 999 99.0 99.0  1.02 16.67 10.56 271 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 08 42 999 99.0 99.0  0.93 15.38  9.26 267 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 09 12 999 99.0 99.0  0.82 15.38  8.46 268 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 09 42 999 99.0 99.0  0.87 15.38  9.06 267 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 10 12 999 99.0 99.0  0.89 14.29  8.79 277 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 10 42 999 99.0 99.0  0.96 15.38  9.48 267 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 11 12 999 99.0 99.0  0.95 15.38  9.32 274 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 11 42 999 99.0 99.0  0.87 14.29  8.02 277 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 12 12 999 99.0 99.0  0.85 15.38  7.95 275 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 12 42 999 99.0 99.0  0.78 14.29  7.58 275 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 13 12 999 99.0 99.0  0.86 15.38  8.65 268 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 13 42 999 99.0 99.0  0.88 14.29  8.41 280 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 14 12 999 99.0 99.0  0.82 14.29  8.50 288 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 14 42 999 99.0 99.0  0.88 14.29  8.94 280 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 15 12 999 99.0 99.0  0.71 16.67  7.98 273 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 15 42 999 99.0 99.0  0.82 15.38  8.36 273 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 16 12 999 99.0 99.0  0.93 15.38  8.76 261 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 16 42 999 99.0 99.0  0.95 14.29  8.78 266 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 17 12 999 99.0 99.0  0.89 14.29  8.07 281 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 17 42 999 99.0 99.0  0.86 13.33  7.82 275 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 18 12 999 99.0 99.0  0.97 14.29  8.89 268 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 18 42 999 99.0 99.0  1.09 15.38  9.28 273 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 19 12 999 99.0 99.0  0.98 12.50  8.15 273 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 19 42 999 99.0 99.0  1.05 13.33  8.39 281 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 20 12 999 99.0 99.0  1.03 15.38  8.29 270 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 20 42 999 99.0 99.0  1.13 13.33  8.44 280 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 21 12 999 99.0 99.0  1.07 13.33  7.93 277 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 21 42 999 99.0 99.0  0.99 13.33  7.77 264 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 22 12 999 99.0 99.0  1.01 14.29  7.39 261 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 22 42 999 99.0 99.0  1.00 15.38  7.01 260 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 23 12 999 99.0 99.0  0.93 13.33  6.44 266 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 23 42 999 99.0 99.0  0.90 15.38  6.84 266 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 02 00 12 999 99.0 99.0  0.95 15.38  6.87 244 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 02 00 42 999 99.0 99.0  0.86 14.29  6.44 250 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 02 01 12 999 99.0 99.0  0.98 15.38  7.34 268 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 02 01 42 999 99.0 99.0  0.99 14.29  7.47 273 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 02 02 12 999 99.0 99.0  0.97 15.38  7.55 251 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 02 02 42 999 99.0 99.0  1.04 13.33  7.82 270 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 02 03 12 999 99.0 99.0  1.03 15.38  7.81 253 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 02 03 42 999 99.0 99.0  0.91 15.38  7.19 256 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 02 04 12 999 99.0 99.0  0.96 13.33  7.81 271 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 02 04 42 999 99.0 99.0  1.01 15.38  7.98 263 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 02 05 12 999 99.0 99.0  1.04 14.29  8.53 267 9999.0 999.0  15.6 999.0 99.0 99.00
