#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 00 28 999 99.0 99.0  0.96  8.33  5.92 276 9999.0 999.0  14.8 999.0 99.0 99.00
2011 01 01 00 58 999 99.0 99.0  0.96  9.09  5.78 275 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 01 28 999 99.0 99.0  0.99  7.69  6.01 281 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 01 58 999 99.0 99.0  0.91  9.09  5.78 279 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 02 28 999 99.0 99.0  0.88  7.14  5.99 278 9999.0 999.0  14.6 999.0 99.0 99.00
2011 01 01 02 58 999 99.0 99.0  0.89  7.69  6.03 275 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 03 28 999 99.0 99.0  0.85  8.33  6.02 274 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 03 58 999 99.0 99.0  0.80  7.14  6.14 278 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 04 28 999 99.0 99.0  0.80  7.69  5.68 281 9999.0 999.0  14.6 999.0 99.0 99.00
2011 01 01 04 58 999 99.0 99.0  0.83  9.88  5.72 279 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 05 28 999 99.0 99.0  0.84  7.69  5.73 286 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 05 58 999 99.0 99.0  0.83  8.33  6.06 278 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 06 28 999 99.0 99.0  0.78 11.76  6.01 260 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 06 58 999 99.0 99.0  0.73  7.14  5.57 282 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 07 28 999 99.0 99.0  0.76  6.25  5.38 276 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 07 58 999 99.0 99.0  0.70  6.25  5.12 272 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 08 28 999 99.0 99.0  0.72  9.09  5.11 279 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 08 58 999 99.0 99.0  0.70 13.33  4.89 262 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 09 28 999 99.0 99.0  0.74  7.14  4.94 271 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 09 58 999 99.0 99.0  0.69 11.11  4.63 276 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 10 28 999 99.0 99.0  0.68  9.88  4.83 276 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 10 58 999 99.0 99.0  0.71 11.11  4.93 271 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 11 28 999 99.0 99.0  0.68  9.09  5.09 281 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 11 58 999 99.0 99.0  0.69 10.53  5.13 272 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 12 28 999 99.0 99.0  0.66 12.50  5.36 257 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 12 58 999 99.0 99.0  0.65  9.09  5.19 275 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 13 28 999 99.0 99.0  0.69 11.11  5.48 272 9999.0 999.0  14.4 999.0 99.0 99.00
2011 01 01 13 58 999 99.0 99.0  0.65 12.50  5.60 269 9999.0 999.0  14.4 999.0 99.0 99.00
2011 01 01 14 28 999 99.0 99.0  0.68 12.50  5.84 271 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 14 58 999 99.0 99.0  0.68 12.50  5.77 274 9999.0 999.0  14.5 999.0 99.0 99.00
2011 01 01 15 28 999 99.0 99.0  0.67 12.50  5.66 274 9999.0 999.0  14.4 999.0 99.0 99.00
2011 01 01 15 58 999 99.0 99.0  0.68 13.33  5.88 264 9999.0 999.0  14.3 999.0 99.0 99.00
