#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 26 999 99.0 99.0  1.93 16.67  7.35 280 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 00 56 999 99.0 99.0  1.90 16.67  7.08 282 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 01 26 999 99.0 99.0  1.76 16.67  7.27 270 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 01 56 999 99.0 99.0  1.88 16.67  7.26 275 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 02 26 999 99.0 99.0  1.89 16.67  7.36 277 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 02 56 999 99.0 99.0  1.93 16.67  6.95 277 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 03 26 999 99.0 99.0  1.95  8.33  6.54 280 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 03 56 999 99.0 99.0  1.95  7.69  6.63 281 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 04 26 999 99.0 99.0  1.90  9.09  6.68 278 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 04 56 999 99.0 99.0  1.95 16.67  6.69 273 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 05 26 999 99.0 99.0  1.90  8.33  6.91 281 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 05 56 999 99.0 99.0  1.91  8.33  6.79 281 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 06 26 999 99.0 99.0  1.75 16.67  6.69 273 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 06 56 999 99.0 99.0  1.69  9.09  6.57 278 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 07 26 999 99.0 99.0  1.72 18.18  6.99 281 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 07 56 999 99.0 99.0  1.64  8.33  6.78 282 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 08 26 999 99.0 99.0  1.60  9.09  6.89 282 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 08 56 999 99.0 99.0  1.67  8.33  7.14 281 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 09 26 999 99.0 99.0  1.62  7.69  6.89 282 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 09 56 999 99.0 99.0  1.64  9.09  6.94 284 9999.0 999.0  14.3 999.0 99.0 99.00
2021 01 01 10 26 999 99.0 99.0  1.56  9.09  7.00 287 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 10 56 999 99.0 99.0  1.50  8.33  6.71 284 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 11 26 999 99.0 99.0  1.53  8.33  6.92 287 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 11 56 999 99.0 99.0  1.55 18.18  7.10 274 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 12 26 999 99.0 99.0  1.58 16.67  7.00 274 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 12 56 999 99.0 99.0  1.43 15.38  6.87 273 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 13 26 999 99.0 99.0  1.52 16.67  7.18 274 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 13 56 999 99.0 99.0  1.39 16.67  7.11 287 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 14 26 999 99.0 99.0  1.47 15.38  7.48 275 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 14 56 999 99.0 99.0  1.47 16.67  7.66 275 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 15 26 999 99.0 99.0  1.39 16.67  8.31 273 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 15 56 999 99.0 99.0  1.32 15.38  8.22 273 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 16 26 999 99.0 99.0  1.32 16.67  8.80 277 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 16 56 999 99.0 99.0  1.40 15.38  9.03 274 9999.0 999.0  14.1 999.0 99.0 99.00
2021 01 01 17 26 999 99.0 99.0  1.43 15.38  8.49 275 9999.0 999.0  14.2 999.0 99.0 99.00
2021 01 01 17 56 999 99.0 99.0  1.42 15.38  8.97 277 9999.0 999.0  14.1 999.0 99.0 99.00
