#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 14 999 99.0 99.0  0.98 16.67  9.32 260 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 01 00 44 999 99.0 99.0  1.06 14.29  9.56 251 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 01 01 14 999 99.0 99.0  0.99 11.76  9.17 267 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 01 44 999 99.0 99.0  1.07 13.33  9.66 241 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 02 14 999 99.0 99.0  1.02 13.33  9.20 245 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 02 44 999 99.0 99.0  1.07 13.33  9.72 244 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 03 14 999 99.0 99.0  1.15 15.38  9.99 262 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 03 44 999 99.0 99.0  1.04 16.67  9.65 272 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 04 14 999 99.0 99.0  1.09 14.29  9.68 252 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 04 44 999 99.0 99.0  1.04 15.38  9.54 274 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 05 14 999 99.0 99.0  1.06 15.38  9.67 267 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 05 44 999 99.0 99.0  1.05 14.29  9.87 250 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 06 14 999 99.0 99.0  1.07 14.29  9.73 267 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 06 44 999 99.0 99.0  1.07 13.33  9.79 260 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 07 14 999 99.0 99.0  1.01 14.29  9.73 264 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 07 44 999 99.0 99.0  1.01 14.29  9.59 252 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 08 14 999 99.0 99.0  1.02 12.50  9.82 262 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 08 44 999 99.0 99.0  0.90 15.38  9.13 281 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 09 14 999 99.0 99.0  0.87 16.67  9.47 272 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 09 44 999 99.0 99.0  0.85 15.38  9.65 261 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 10 14 999 99.0 99.0  0.86 14.29  9.64 265 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 10 44 999 99.0 99.0  0.93 13.33  9.95 247 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 11 14 999 99.0 99.0  0.97 15.38 10.00 264 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 11 44 999 99.0 99.0  0.94 13.33 10.14 233 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 12 14 999 99.0 99.0  1.00 14.29 10.63 262 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 12 44 999 99.0 99.0  1.04 14.29 10.54 258 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 13 14 999 99.0 99.0  1.01 14.29 10.51 252 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 13 44 999 99.0 99.0  0.91 12.50  9.60 244 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 14 14 999 99.0 99.0  0.99 12.50  9.73 261 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 14 44 999 99.0 99.0  1.02 15.38  9.75 265 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 15 14 999 99.0 99.0  1.02 13.33  9.69 243 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 15 44 999 99.0 99.0  1.03 12.50  9.82 257 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 16 14 999 99.0 99.0  1.17 14.29 10.32 241 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 16 44 999 99.0 99.0  0.98 14.29  9.71 262 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 17 14 999 99.0 99.0  0.97 13.33 10.03 261 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 17 44 999 99.0 99.0  1.00 13.33 10.27 268 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 18 14 999 99.0 99.0  0.93 13.33 10.02 240 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 01 18 44 999 99.0 99.0  0.98 14.29 10.41 260 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 01 19 14 999 99.0 99.0  0.98 14.29 10.29 269 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 01 19 44 999 99.0 99.0  0.95 13.33 10.31 255 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 01 20 14 999 99.0 99.0  0.91 14.29 10.25 261 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 01 20 44 999 99.0 99.0  0.93 14.29 10.02 269 9999.0 999.0  15.2 999.0 99.0 99.00
2012 01 01 21 14 999 99.0 99.0  1.01 12.50 10.25 252 9999.0 999.0  15.2 999.0 99.0 99.00
2012 01 01 21 44 999 99.0 99.0  1.02 11.76 10.23 265 9999.0 999.0  15.2 999.0 99.0 99.00
2012 01 01 22 14 999 99.0 99.0  1.03 14.29 10.38 262 9999.0 999.0  15.2 999.0 99.0 99.00
2012 01 01 22 44 999 99.0 99.0  1.03 12.50  9.69 250 9999.0 999.0  15.2 999.0 99.0 99.00
2012 01 01 23 14 999 99.0 99.0  1.00 13.33  9.85 267 9999.0 999.0  15.2 999.0 99.0 99.00
2012 01 01 23 44 999 99.0 99.0  1.03 13.33  9.79 264 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 02 00 14 999 99.0 99.0  1.30 12.50 10.77 248 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 02 00 44 999 99.0 99.0  1.08 14.29 10.00 274 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 02 01 14 999 99.0 99.0  0.95 14.29  9.79 252 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 01 44 999 99.0 99.0  0.95 12.50  9.60 254 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 02 14 999 99.0 99.0  0.99 14.29  9.71 265 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 02 44 999 99.0 99.0  1.01 13.33 10.06 243 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 03 14 999 99.0 99.0  0.95 12.50  9.59 267 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 03 44 999 99.0 99.0  0.93 11.76  9.27 252 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 04 14 999 99.0 99.0  0.94 14.29  9.46 262 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 04 44 999 99.0 99.0  0.89 14.29  9.14 258 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 05 14 999 99.0 99.0  0.91 12.50  8.90 275 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 05 44 999 99.0 99.0  0.86 11.76  8.65 262 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 06 14 999 99.0 99.0  0.91 12.50  9.29 261 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 08 14 999 99.0 99.0  0.83 12.50  9.06 260 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 08 44 999 99.0 99.0  0.75 11.76  7.71 250 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 09 14 999 99.0 99.0  0.82 11.76  7.73 262 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 09 44 999 99.0 99.0  0.78 12.50  7.08 247 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 10 14 999 99.0 99.0  0.80 12.50  6.95 247 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 10 44 999 99.0 99.0  0.89 13.33  7.46 248 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 11 14 999 99.0 99.0  0.85 12.50  7.35 244 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 11 44 999 99.0 99.0  0.89 12.50  7.59 243 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 12 14 999 99.0 99.0  0.86 13.33  7.78 252 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 12 44 999 99.0 99.0  0.89 13.33  8.17 250 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 13 14 999 99.0 99.0  0.84 12.50  8.37 234 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 13 44 999 99.0 99.0  0.84 12.50  7.99 248 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 14 14 999 99.0 99.0  0.95 13.33  8.77 241 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 14 44 999 99.0 99.0  0.76 12.50  7.88 240 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 15 44 999 99.0 99.0  0.77 12.50  7.75 251 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 16 14 999 99.0 99.0  0.74 13.33  7.46 251 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 16 44 999 99.0 99.0  0.73 13.33  7.58 254 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 17 14 999 99.0 99.0  0.72 13.33  7.53 248 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 17 44 999 99.0 99.0  0.73 13.33  8.00 243 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 18 14 999 99.0 99.0  0.64 12.50  7.24 247 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 02 18 44 999 99.0 99.0  0.73 13.33  7.92 248 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 19 14 999 99.0 99.0  0.71 11.76  6.50 260 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 19 44 999 99.0 99.0  0.78 11.11  5.81 248 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 20 14 999 99.0 99.0  0.75 13.33  5.62 255 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 20 44 999 99.0 99.0  0.84 12.50  5.52 245 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 21 14 999 99.0 99.0  0.81 13.33  5.20 231 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 21 44 999 99.0 99.0  0.81 13.33  5.44 260 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 22 14 999 99.0 99.0  0.78 11.11  5.29 252 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 22 44 999 99.0 99.0  0.76 12.50  5.52 233 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 23 14 999 99.0 99.0  0.75 13.33  5.41 237 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 02 23 44 999 99.0 99.0  0.75 12.50  5.76 223 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 03 00 14 999 99.0 99.0  0.69 13.33  5.60 250 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 03 00 44 999 99.0 99.0  0.71 12.50  6.20 248 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 03 01 14 999 99.0 99.0  0.67 13.33  6.27 219 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 01 44 999 99.0 99.0  0.71 11.76  6.72 245 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 02 14 999 99.0 99.0  0.65 11.76  6.52 231 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 02 44 999 99.0 99.0  0.66 11.11  6.38 257 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 03 14 999 99.0 99.0  0.68 12.50  6.71 230 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 03 44 999 99.0 99.0  0.61 13.33  6.10 217 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 04 14 999 99.0 99.0  0.69 13.33  6.88 247 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 04 44 999 99.0 99.0  0.72 12.50  7.07 248 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 05 14 999 99.0 99.0  0.62 13.33  6.01 236 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 05 44 999 99.0 99.0  0.69 12.50  6.60 237 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 06 14 999 99.0 99.0  0.59 11.76  5.77 229 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 06 44 999 99.0 99.0  0.61 12.50  6.09 233 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 07 14 999 99.0 99.0  0.66 12.50  6.89 227 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 07 44 999 99.0 99.0  0.64 12.50  6.45 237 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 08 14 999 99.0 99.0  0.64 11.76  6.22 223 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 08 44 999 99.0 99.0  0.66 12.50  6.45 227 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 09 14 999 99.0 99.0  0.64 13.33  5.94 240 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 09 44 999 99.0 99.0  0.70 12.50  6.07 236 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 10 14 999 99.0 99.0  0.64 11.76  5.60 241 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 10 44 999 99.0 99.0  0.63 11.76  5.70 241 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 11 14 999 99.0 99.0  0.63 12.50  5.90 238 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 11 44 999 99.0 99.0  0.58 11.76  5.62 231 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 12 14 999 99.0 99.0  0.57 12.50  5.81 244 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 12 44 999 99.0 99.0  0.57 12.50  6.09 227 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 13 14 999 99.0 99.0  0.57 12.50  6.43 241 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 13 44 999 99.0 99.0  0.61 13.33  6.93 230 9999.0 999.0  14.8 999.0 99.0 99.00
2012 01 03 14 14 999 99.0 99.0  0.56 12.50  6.37 240 9999.0 999.0  14.8 999.0 99.0 99.00
2012 01 03 14 44 999 99.0 99.0  0.55 11.76  6.52 243 9999.0 999.0  14.8 999.0 99.0 99.00
2012 01 03 15 14 999 99.0 99.0  0.57 11.76  6.90 250 9999.0 999.0  14.8 999.0 99.0 99.00
2012 01 03 15 44 999 99.0 99.0  0.60 11.76  6.65 230 9999.0 999.0  14.8 999.0 99.0 99.00
2012 01 03 16 14 999 99.0 99.0  0.60 11.76  6.87 238 9999.0 999.0  14.8 999.0 99.0 99.00
2012 01 03 16 44 999 99.0 99.0  0.60 11.76  7.31 229 9999.0 999.0  14.8 999.0 99.0 99.00
2012 01 03 17 14 999 99.0 99.0  0.56 11.76  6.35 243 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 17 44 999 99.0 99.0  0.62 11.76  7.59 240 9999.0 999.0  14.9 999.0 99.0 99.00
2012 01 03 18 14 999 99.0 99.0  0.64 11.76  8.17 244 9999.0 999.0  15.0 999.0 99.0 99.00
2012 01 03 18 44 999 99.0 99.0  0.61 13.33  8.10 234 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 03 19 14 999 99.0 99.0  0.65 11.76  8.82 234 9999.0 999.0  15.2 999.0 99.0 99.00
2012 01 03 19 44 999 99.0 99.0  0.65 18.18  8.85 262 9999.0 999.0  15.4 999.0 99.0 99.00
2012 01 03 20 14 999 99.0 99.0  0.70 18.18  9.13 274 9999.0 999.0  15.5 999.0 99.0 99.00
2012 01 03 20 44 999 99.0 99.0  0.66 18.18  8.98 267 9999.0 999.0  15.7 999.0 99.0 99.00
2012 01 03 21 14 999 99.0 99.0  0.73 18.18  9.33 267 9999.0 999.0  15.8 999.0 99.0 99.00
2012 01 03 21 44 999 99.0 99.0  0.72 15.38  9.47 275 9999.0 999.0  16.0 999.0 99.0 99.00
2012 01 03 22 14 999 99.0 99.0  0.84 16.67 10.54 275 9999.0 999.0  15.8 999.0 99.0 99.00
2012 01 03 22 44 999 99.0 99.0  0.82 16.67 10.38 279 9999.0 999.0  15.7 999.0 99.0 99.00
2012 01 03 23 14 999 99.0 99.0  0.83 16.67 10.82 269 9999.0 999.0  15.6 999.0 99.0 99.00
2012 01 03 23 44 999 99.0 99.0  0.89 16.67 10.76 274 9999.0 999.0  15.5 999.0 99.0 99.00
2012 01 04 00 14 999 99.0 99.0  0.94 15.38 10.98 275 9999.0 999.0  15.3 999.0 99.0 99.00
2012 01 04 00 44 999 99.0 99.0  1.11 16.67 11.92 275 9999.0 999.0  15.2 999.0 99.0 99.00
2012 01 04 01 14 999 99.0 99.0  1.13 16.67 11.66 278 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 04 01 44 999 99.0 99.0  1.14 15.38 11.57 274 9999.0 999.0  15.2 999.0 99.0 99.00
2012 01 04 02 14 999 99.0 99.0  1.14 15.38 11.59 272 9999.0 999.0  15.1 999.0 99.0 99.00
2012 01 04 02 44 999 99.0 99.0  1.10 16.67 11.41 275 9999.0 999.0  15.0 999.0 99.0 99.00
