datetime,SURF_TEMP_C,SURF_SAL_PSU
2008-01-15,13.842857142857143,33.51
2008-01-22,14.016666666666666,33.49
2008-01-29,13.928571428571429,33.394285714285715
2008-02-05,13.566666666666668,33.473333333333336
2008-02-12,13.766666666666666,33.43
2008-02-19,14.342857142857143,33.402857142857144
2008-02-26,14.014285714285714,33.46714285714286
2008-03-04,14.114285714285714,33.43714285714286
2008-03-11,14.700000000000001,33.35
2008-03-18,15.066666666666668,33.45333333333333
2008-03-25,14.942857142857145,33.55285714285714
2008-04-01,16.185714285714287,33.57
2008-04-08,15.483333333333334,33.63333333333333
2008-04-15,15.757142857142856,33.690000000000005
2008-04-22,15.785714285714286,33.71857142857143
2008-04-29,15.442857142857141,33.792857142857144
2008-05-06,17.150000000000002,33.800000000000004
2008-05-13,17.185714285714287,33.83142857142857
2008-05-20,17.714285714285715,33.864285714285714
2008-05-27,18.585714285714285,33.854285714285716
2008-06-03,18.833333333333332,33.891666666666666
2008-06-10,19.2,33.801428571428566
2008-06-17,18.642857142857142,33.77571428571429
2008-06-24,18.416666666666668,33.76333333333333
2008-07-01,20.785714285714285,33.75571428571429
2008-07-08,20.583333333333332,33.75833333333333
2008-07-15,19.428571428571427,33.69857142857143
2008-07-22,20.7,33.66857142857143
2008-07-29,21.5,33.714285714285715
2008-08-05,22.02857142857143,33.72428571428571
2008-08-12,22.099999999999998,33.708571428571425
2008-08-19,23.014285714285712,33.66142857142857
2008-08-26,21.133333333333333,33.54833333333333
2008-09-02,21.900000000000002,33.571666666666665
2008-09-09,21.62857142857143,33.52428571428571
2008-09-16,22.12857142857143,33.50714285714286
2008-09-23,20.375,33.513999999999996
2008-09-30,19.46666666666667,33.45666666666667
2008-10-07,19.785714285714285,33.44285714285714
2008-10-14,19.82857142857143,33.46714285714286
2008-10-21,19.785714285714285,33.54571428571428
2008-10-28,17.771428571428572,33.48
2008-11-04,17.733333333333334,33.446666666666665
2008-11-11,18.900000000000002,33.498333333333335
2008-11-18,18.014285714285716,33.48285714285714
2008-11-25,17.55,33.475
2008-12-02,17.516666666666666,33.50833333333333
2008-12-09,17.314285714285713,33.362857142857145
2008-12-16,17.2,33.436
2008-12-23,16.04285714285714,33.455714285714286
2008-12-30,14.657142857142857,33.25714285714286
2009-01-06,14.116666666666667,33.275
2009-01-13,13.985714285714286,33.31857142857143
2009-01-20,14.299999999999999,33.35285714285714
2009-01-27,15.566666666666668,33.46
2009-02-03,15.266666666666666,33.445
2009-02-10,14.950000000000001,33.464999999999996
2009-02-17,14.86,33.396
2009-02-24,14.1,33.30142857142857
2009-03-03,14.48,33.36
2009-03-10,15.214285714285714,33.32285714285714
2009-03-17,15.12857142857143,33.39857142857143
2009-03-24,14.885714285714286,33.45
2009-03-31,15.371428571428572,33.46857142857143
2009-04-07,14.914285714285715,33.50142857142857
2009-04-14,15.819999999999999,33.586
2009-04-21,16.22,33.584
2009-04-28,16.014285714285712,33.61714285714286
2009-05-05,16.285714285714285,33.61142857142857
2009-05-12,17.085714285714285,33.62571428571429
2009-05-19,17.785714285714285,33.66857142857143
2009-05-26,18.657142857142855,33.69428571428572
2009-06-02,19.214285714285715,33.681428571428576
2009-06-09,19.142857142857142,33.71714285714286
2009-06-16,18.8,33.7
2009-06-23,18.785714285714285,33.71857142857143
2009-06-30,20.133333333333333,33.70333333333333
2009-07-07,20.728571428571428,33.73285714285714
2009-07-14,19.02857142857143,33.61
2009-07-21,19.316666666666666,33.58833333333333
2009-07-28,20.285714285714285,33.558571428571426
2009-08-04,23.771428571428572,33.684285714285714
2009-08-11,23.919999999999998,33.786
2009-08-18,23.02857142857143,33.72
2009-08-25,22.485714285714288,33.69857142857143
2009-09-01,22.542857142857144,33.71
2009-09-08,22.814285714285713,33.660000000000004
2009-09-15,24.450000000000003,33.71666666666667
2009-09-22,22.87142857142857,33.69571428571429
2009-09-29,22.25714285714286,33.637142857142855
2009-10-06,21.0,33.55571428571429
2009-10-13,20.74285714285714,33.58142857142857
2009-10-20,18.74285714285714,33.49285714285714
2009-10-27,19.2,33.48142857142857
2009-11-03,19.571428571428573,33.50142857142857
2009-11-10,17.349999999999998,33.445
2009-11-17,17.12857142857143,33.395714285714284
2009-11-24,17.7,33.47
2009-12-01,17.45,33.49166666666667
2009-12-08,17.02857142857143,33.51571428571429
2009-12-15,16.057142857142857,33.45428571428572
2009-12-22,15.4,33.34571428571429
2009-12-29,15.866666666666667,33.38666666666666
2010-01-05,15.12857142857143,33.41857142857143
2010-01-12,15.12857142857143,33.44857142857143
2010-01-19,15.757142857142856,33.46857142857143
2010-01-26,15.657142857142857,33.46714285714285
2010-02-02,15.066666666666668,33.35
2010-02-09,15.483333333333334,33.358333333333334
2010-02-16,15.38,33.386
2010-02-23,15.35,33.38
2010-03-02,16.014285714285712,33.34285714285714
2010-03-09,15.842857142857143,33.29571428571428
2010-03-16,15.657142857142857,33.27142857142857
2010-03-23,15.071428571428571,33.291428571428575
2010-03-30,15.828571428571427,33.42142857142857
2010-04-06,16.52857142857143,33.480000000000004
2010-04-13,16.02857142857143,33.47
2010-04-20,16.214285714285715,33.46857142857143
2010-04-27,17.014285714285712,33.449999999999996
2010-05-04,16.12857142857143,33.458571428571425
2010-05-11,15.728571428571428,33.49142857142857
2010-05-18,16.728571428571428,33.534285714285716
2010-05-25,17.47142857142857,33.56428571428571
2010-06-01,17.37142857142857,33.58857142857143
2010-06-08,17.785714285714285,33.60285714285714
2010-06-15,18.67142857142857,33.612857142857145
2010-06-22,18.785714285714285,33.64
