#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 20 999 99.0 99.0  0.65 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 01 20 274  7.0 99.0  0.69 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 02 20 304  5.3 99.0  0.78 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 03 20 304  4.8 99.0  0.76 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 04 20 308  8.5 99.0  0.88  3.94 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 05 20 329  7.5 99.0  1.10  4.65 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 06 20 327  6.1 99.0  1.23  5.02 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 07 20 327  5.2 99.0  1.24  5.02 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 08 20  32  3.9 99.0  1.12  4.74 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 09 20  15  3.8 99.0  1.07  5.45 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 10 20 310  1.7 99.0  1.05  5.57 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 11 20  43  2.7 99.0  1.05  5.33 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 12 20 312  3.4 99.0  1.00  5.33 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 13 20 311  3.9 99.0  0.99  5.82 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 14 20  86  3.0 99.0  0.96  5.33 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 15 20 107  4.9 99.0  0.92 11.64 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 16 20 110  3.9 99.0  0.94 11.64 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 17 20 120  3.4 99.0  0.93 10.67 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 18 20 151  2.1 99.0  0.89  5.33 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 19 20 206  2.2 99.0  0.88 10.67 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 20 20 205  4.7 99.0  0.82  5.12 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 21 20 206  5.6 99.0  0.80  9.85 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 22 20 236  4.4 99.0  0.76  8.26 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 01 23 20 230  4.5 99.0  0.80  5.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 00 20 212  3.6 99.0  0.86  9.14 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 01 20 166  2.2 99.0  0.87  8.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 02 20 162  2.4 99.0  0.88  7.53 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 03 20 157  3.1 99.0  0.84  6.74 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 04 20 144  2.6 99.0  0.82  8.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 05 20 139  3.0 99.0  0.84  7.31 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 06 20 125  2.6 99.0  0.93  6.92 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 07 20 126  2.8 99.0  0.96  6.92 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 08 20 132  2.5 99.0  0.95  6.74 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 09 20 146  2.0 99.0  0.91  6.24 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 10 20 133  2.2 99.0  0.86  7.11 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 11 20 115  1.7 99.0  0.89  6.92 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 12 20 146  0.7 99.0  0.81  7.31 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 13 20 140  1.1 99.0  0.83  6.92 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 14 20 155  1.2 99.0  0.81  6.40 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 02 15 20 139  1.3 99.0  0.73  6.40 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
