#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 24 339  1.4  2.1  0.73 15.06 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 01 24 321  0.6  1.2  0.69 15.06 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 02 24 281  0.4  2.1  0.70 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 03 24 206  0.2  1.0  0.66 12.19 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 04 24 142  0.3  1.5  0.70 15.06 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 05 24  34  0.5  2.0  0.72 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 06 24 144  0.3  1.0  0.69 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 07 24  51  0.2  1.0  0.67 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 08 24 171  0.6  1.8  0.67 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 09 24  88  0.5  1.4  0.66 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 10 24  48  0.5  1.4  0.72 15.06 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 11 24  45  0.6  1.4  0.73 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 12 24  74  2.1  2.9  0.71 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 13 24  93  1.6  2.9  0.76 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 14 24  68  0.4  1.0  0.78 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 15 24  54  0.5  1.3  0.82 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 16 24 190  0.3  1.0  0.77 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 17 24 163  1.1  1.8  0.77 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 18 24 211  0.9  1.6  0.76 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 19 24 303  0.6  1.6  0.77 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 20 24   2  1.2  2.0  0.79 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 21 24 360  2.1  3.2  0.82 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 22 24 353  2.1  2.9  0.80 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 23 24 345  3.6  4.4  0.83 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 00 24 356  3.8  4.5  0.84 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 01 24 347  2.8  3.4  0.75 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 02 24 354  2.0  2.9  0.83 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 03 24 151  0.4  1.0  0.80 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 04 24 174  0.8  1.4  0.77 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 05 24  62  0.2  1.1  0.77 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 06 24 169  0.6  0.9  0.80 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 07 24 176  0.3  1.4  0.78 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 08 24 108  1.3  2.2  0.79 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 09 24  92  1.5  2.9  0.76 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 10 24 276  0.8  2.0  0.74 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 11 24 309  0.7  1.9  0.68 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 12 24 350  0.6  1.6  0.69 14.22 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 13 24  39  0.9  2.5  0.70 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 14 24 152  0.7  2.7  0.69 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 15 24 266  0.3  0.9  0.62 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 16 24 293  0.1  0.8  0.63 12.19 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 17 24 151  0.1  0.9  0.70 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 18 24 185  0.6  1.5  0.75 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 19 24 227  0.7  1.6  0.76 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 20 24 280  0.5  1.0  0.70 13.47 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 21 24 329  1.1  1.6  0.68 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 22 24   2  1.5  1.9  0.61 11.64 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 02 23 24 350  1.7  2.3  0.61 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 03 00 24 332  1.6  2.1  0.57 12.19 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 03 01 24 355  1.8  2.4  0.61 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 03 02 24   2  0.9  2.0  0.53 12.19 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 03 03 24 353  0.3  1.0  0.52 12.19 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 03 04 24 179  0.8  1.4  0.56 12.19 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 03 05 24 114  0.4  1.9  0.57 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 03 06 24   7  0.6  1.2  0.55 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 03 07 24 244  1.0  2.9  0.54 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 03 08 24 334  2.4  4.0  0.52 12.19 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
