#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 07 07 19 187  0.6  1.5 99.00 99.00 99.00 999 9999.0  14.8 999.0 999.0 99.0 99.00
2008 03 07 08 20  79  0.8  1.9 99.00 99.00 99.00 999 9999.0  14.5 999.0 999.0 99.0 99.00
2008 03 07 09 19  54  0.8  1.6 99.00 99.00 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2008 03 07 10 19 170  0.5  2.1 99.00 99.00 99.00 999 9999.0  13.8 999.0 999.0 99.0 99.00
2008 03 07 11 19  83  1.4  3.8 99.00 99.00 99.00 999 9999.0  13.6 999.0 999.0 99.0 99.00
2008 03 07 12 19  99  1.7  4.3 99.00 99.00 99.00 999 9999.0  13.2 999.0 999.0 99.0 99.00
2008 03 07 13 19 141  1.0  2.3 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2008 03 07 14 20 152  1.1  1.5 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2008 03 07 15 19 105  0.6  1.4 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2008 03 07 16 19  95  1.2  4.2 99.00 99.00 99.00 999 9999.0  14.9 999.0 999.0 99.0 99.00
2008 03 07 17 19 285  1.1  1.6 99.00 99.00 99.00 999 9999.0  15.6 999.0 999.0 99.0 99.00
2008 03 07 18 19 330  0.5  1.2 99.00 99.00 99.00 999 9999.0  17.6 999.0 999.0 99.0 99.00
2008 03 07 19 19 309  1.9  2.6 99.00 99.00 99.00 999 9999.0  18.4 999.0 999.0 99.0 99.00
2008 03 07 23 19 331  2.6  3.6 99.00 99.00 99.00 999 9999.0  17.9 999.0 999.0 99.0 99.00
2008 03 08 00 19 356  2.2  3.1 99.00 99.00 99.00 999 9999.0  18.2 999.0 999.0 99.0 99.00
2008 03 08 01 19 347  2.6  3.8 99.00 99.00 99.00 999 9999.0  16.5 999.0 999.0 99.0 99.00
2008 03 08 03 19  17  2.1  2.8 99.00 99.00 99.00 999 9999.0  14.7 999.0 999.0 99.0 99.00
2008 03 08 05 19  70  1.5  2.5 99.00 99.00 99.00 999 9999.0  14.5 999.0 999.0 99.0 99.00
2008 03 08 06 19  93  1.4  2.8 99.00 99.00 99.00 999 9999.0  13.7 999.0 999.0 99.0 99.00
2008 03 08 10 19 152  0.4  1.0 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2008 03 08 11 20 145  1.4  2.4 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2008 03 08 12 19 147  0.7  1.3 99.00 99.00 99.00 999 9999.0  13.0 999.0 999.0 99.0 99.00
2008 03 08 13 19 105  1.5  2.4 99.00 99.00 99.00 999 9999.0  12.1 999.0 999.0 99.0 99.00
2008 03 08 14 19 107  1.5  2.7 99.00 99.00 99.00 999 9999.0  12.1 999.0 999.0 99.0 99.00
2008 03 08 15 19 109  1.8  2.7 99.00 99.00 99.00 999 9999.0  12.5 999.0 999.0 99.0 99.00
2008 03 08 16 19 109  2.4  3.9 99.00 99.00 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2008 03 08 17 20 209  1.1  1.9 99.00 99.00 99.00 999 9999.0  15.6 999.0 999.0 99.0 99.00
2008 03 08 18 19 267  1.8  2.4 99.00 99.00 99.00 999 9999.0  15.4 999.0 999.0 99.0 99.00
2008 03 08 19 20 279  1.7  2.3 99.00 99.00 99.00 999 9999.0  16.2 999.0 999.0 99.0 99.00
2008 03 08 20 19 256  2.6  4.0 99.00 99.00 99.00 999 9999.0  16.4 999.0 999.0 99.0 99.00
2008 03 08 21 19 265  2.5  3.4 99.00 99.00 99.00 999 9999.0  16.4 999.0 999.0 99.0 99.00
2008 03 08 22 19 255  2.6  3.3 99.00 99.00 99.00 999 9999.0  16.4 999.0 999.0 99.0 99.00
2008 03 08 23 19 250  1.8  2.7 99.00 99.00 99.00 999 9999.0  17.1 999.0 999.0 99.0 99.00
2008 03 09 00 19 251  2.2  2.9 99.00 99.00 99.00 999 9999.0  16.6 999.0 999.0 99.0 99.00
2008 03 09 01 19 240  0.7  1.8 99.00 99.00 99.00 999 9999.0  16.7 999.0 999.0 99.0 99.00
2008 03 09 02 19 252  1.8  2.4 99.00 99.00 99.00 999 9999.0  15.0 999.0 999.0 99.0 99.00
2008 03 09 03 19 202  0.7  2.0 99.00 99.00 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2008 03 09 04 19 119  2.0  4.3 99.00 99.00 99.00 999 9999.0  13.7 999.0 999.0 99.0 99.00
2008 03 09 05 19 144  2.1  3.2 99.00 99.00 99.00 999 9999.0  13.5 999.0 999.0 99.0 99.00
2008 03 09 06 19 152  0.9  2.5 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2008 03 09 07 19 131  1.0  1.9 99.00 99.00 99.00 999 9999.0  13.2 999.0 999.0 99.0 99.00
2008 03 09 08 19 113  2.3  3.3 99.00 99.00 99.00 999 9999.0  13.0 999.0 999.0 99.0 99.00
2008 03 09 09 19 110  2.5  4.0 99.00 99.00 99.00 999 9999.0  12.5 999.0 999.0 99.0 99.00
2008 03 09 10 20  97  3.7  6.0 99.00 99.00 99.00 999 9999.0  12.4 999.0 999.0 99.0 99.00
2008 03 09 11 19 158  2.4  5.1 99.00 99.00 99.00 999 9999.0  12.1 999.0 999.0 99.0 99.00
2008 03 09 12 19 152  1.1  3.0 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
