#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 24   6  3.9  7.8  0.65  5.57 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 01 24  29  3.6  6.1  0.63  5.95 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 02 24  36  3.4  4.6  0.64  6.10 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 03 24  58  2.5  4.0  0.59  9.85 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 04 24  90  3.5  5.4  0.57  9.48 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 05 24  93  4.1  7.3  0.57  9.14 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 06 24  97  6.8  8.4  0.54  9.14 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 07 24 110  4.8  7.1  0.57 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 08 24 102  6.0  7.8  0.61  7.76 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 09 24  99  6.5  8.6  0.60  8.26 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 10 24  97  7.2  9.4  0.53  8.53 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 11 24  92  7.1  9.3  0.54  8.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 12 24  92  7.0  9.2  0.57  7.53 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 13 24  93  7.9 10.1  0.56  8.83 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 14 24  93  7.8 11.0  0.51  7.76 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 15 24  94  7.9 10.0  0.43  8.26 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 16 24  94  7.9 10.4  0.44  8.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 17 24  95  6.6  9.4  0.41 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 18 24 107  4.4  7.1  0.42  6.74 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 19 24 127  3.7  6.0  0.42  6.24 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 20 24 226  1.3  3.0  0.42 11.64 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 21 24 273  1.5  2.4  0.41  8.83 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 22 24 312  1.6  2.6 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 23 24 311  2.7  3.9  0.41 12.80 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 02 00 24 305  2.6  4.0  0.42  8.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 02 01 24 302  3.1  4.7  0.41  7.76 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
